20005;All Donors, Total;TTL;400;IV. Multi-Sector / Cross-Cutting;528;Total ODA;A;Current Prices;2012;2012;USD;US Dollar;6;millions;;;18993.48
20005;All Donors, Total;TTL;400;IV. Multi-Sector / Cross-Cutting;528;Total ODA;A;Current Prices;2013;2013;USD;US Dollar;6;millions;;;18872.96
20005;All Donors, Total;TTL;400;IV. Multi-Sector / Cross-Cutting;528;Total ODA;A;Current Prices;2014;2014;USD;US Dollar;6;millions;;;16813.69
20005;All Donors, Total;TTL;450;V. Total Sector Allocable (I+II+III+IV);528;Total ODA;A;Current Prices;2005;2005;USD;US Dollar;6;millions;;;72484.11
20005;All Donors, Total;TTL;450;V. Total Sector Allocable (I+II+III+IV);528;Total ODA;A;Current Prices;2006;2006;USD;US Dollar;6;millions;;;79715.84
20005;All Donors, Total;TTL;450;V. Total Sector Allocable (I+II+III+IV);528;Total ODA;A;Current Prices;2007;2007;USD;US Dollar;6;millions;;;93801.72
20005;All Donors, Total;TTL;450;V. Total Sector Allocable (I+II+III+IV);528;Total ODA;A;Current Prices;2008;2008;USD;US Dollar;6;millions;;;113046.53
20005;All Donors, Total;TTL;450;V. Total Sector Allocable (I+II+III+IV);528;Total ODA;A;Current Prices;2009;2009;USD;US Dollar;6;millions;;;118455.61
20005;All Donors, Total;TTL;450;V. Total Sector Allocable (I+II+III+IV);528;Total ODA;A;Current Prices;2010;2010;USD;US Dollar;6;millions;;;126468.25
20005;All Donors, Total;TTL;450;V. Total Sector Allocable (I+II+III+IV);528;Total ODA;A;Current Prices;2011;2011;USD;US Dollar;6;millions;;;133405.07
20005;All Donors, Total;TTL;450;V. Total Sector Allocable (I+II+III+IV);528;Total ODA;A;Current Prices;2012;2012;USD;US Dollar;6;millions;;;140713.47
20005;All Donors, Total;TTL;450;V. Total Sector Allocable (I+II+III+IV);528;Total ODA;A;Current Prices;2013;2013;USD;US Dollar;6;millions;;;145773.43
20005;All Donors, Total;TTL;450;V. Total Sector Allocable (I+II+III+IV);528;Total ODA;A;Current Prices;2014;2014;USD;US Dollar;6;millions;;;140365.38
20005;All Donors, Total;TTL;500;VI. Commodity Aid / General Prog. Ass.;528;Total ODA;A;Current Prices;2005;2005;USD;US Dollar;6;millions;;;4758.62
20005;All Donors, Total;TTL;500;VI. Commodity Aid / General Prog. Ass.;528;Total ODA;A;Current Prices;2006;2006;USD;US Dollar;6;millions;;;4930.11
20005;All Donors, Total;TTL;500;VI. Commodity Aid / General Prog. Ass.;528;Total ODA;A;Current Prices;2007;2007;USD;US Dollar;6;millions;;;6101.31
20005;All Donors, Total;TTL;500;VI. Commodity Aid / General Prog. Ass.;528;Total ODA;A;Current Prices;2008;2008;USD;US Dollar;6;millions;;;10456.94
20005;All Donors, Total;TTL;500;VI. Commodity Aid / General Prog. Ass.;528;Total ODA;A;Current Prices;2009;2009;USD;US Dollar;6;millions;;;10099.43
20005;All Donors, Total;TTL;500;VI. Commodity Aid / General Prog. Ass.;528;Total ODA;A;Current Prices;2010;2010;USD;US Dollar;6;millions;;;6930.49
20005;All Donors, Total;TTL;500;VI. Commodity Aid / General Prog. Ass.;528;Total ODA;A;Current Prices;2011;2011;USD;US Dollar;6;millions;;;6646.76
20005;All Donors, Total;TTL;500;VI. Commodity Aid / General Prog. Ass.;528;Total ODA;A;Current Prices;2012;2012;USD;US Dollar;6;millions;;;6879.08
20005;All Donors, Total;TTL;500;VI. Commodity Aid / General Prog. Ass.;528;Total ODA;A;Current Prices;2013;2013;USD;US Dollar;6;millions;;;11197.99
20005;All Donors, Total;TTL;500;VI. Commodity Aid / General Prog. Ass.;528;Total ODA;A;Current Prices;2014;2014;USD;US Dollar;6;millions;;;4341.62
20005;All Donors, Total;TTL;600;VII. Action Relating to Debt;528;Total ODA;A;Current Prices;2005;2005;USD;US Dollar;6;millions;;;26052.79
20005;All Donors, Total;TTL;600;VII. Action Relating to Debt;528;Total ODA;A;Current Prices;2006;2006;USD;US Dollar;6;millions;;;23202.99
20005;All Donors, Total;TTL;600;VII. Action Relating to Debt;528;Total ODA;A;Current Prices;2007;2007;USD;US Dollar;6;millions;;;13752.73
20005;All Donors, Total;TTL;600;VII. Action Relating to Debt;528;Total ODA;A;Current Prices;2008;2008;USD;US Dollar;6;millions;;;11290.73
20005;All Donors, Total;TTL;600;VII. Action Relating to Debt;528;Total ODA;A;Current Prices;2009;2009;USD;US Dollar;6;millions;;;2747.37
